Comment ID,Commenter Name,Comment Text,Comment Time
5.99E+14,Kamalesh Mondal,"ধৈর্যের সীমা অতিক্রম করে ফেলেছে বাংলাদেশ
এবার এর যোগ্য জবাব দিতেই হবে",12/8/2024 11:00
1.53E+15,Subol  Mondal,ভারত এনি টাইম রেডি ।তোরা আহ ভাতিজা আহ।🚩🚩,12/8/2024 9:00
1.12E+15,Robi Bepari,হাসি পাচ্ছে,12/8/2024 9:00
1.11E+15,Prasen Jit Das,দাদু তো ভালো স্বপ্ন দেখতেছে,12/8/2024 9:00
9.30E+14,Abdul Khalek Sardar,"সুকান্ত মজুমদার ঠিক বলেছেন
আমাদের সিভিক ভলেন্টিয়ার
মুখো মুখি করার শক্তি নেই",12/8/2024 14:00
8.96E+14,Tina Tina Tina,পাগল নাকি কি জানি,12/8/2024 9:00
1.72E+15,Jannatara Shayla,"বয়স্ক লোক কি বলতে কি বলে ছে মনে কিছু করবেন না,",12/8/2024 16:00
3.90E+15,Asimrudra Asimrudra,তো বাবা লোম থাকে বডার পার হয়ে দেখা ভারত মাতার জয় 🇪🇬,12/8/2024 13:00
9.87E+14,Avirup Pal,এনার নার্ভের পোবলেম আছে,12/8/2024 13:00
1.10E+15,Chaitanya Karmakar,বাংলাদেশের মুশলীমর ভাইয়েরা ইউনিশের মতলব বুঝতে পারছে না?,12/8/2024 9:00
1.15E+15,Sarajit Mandal,Tor to hata chalari khamota Ney tui abar Kolkata ki dakhol korbi,12/8/2024 14:00
8.78E+14,Suurajit Das,Mal tar heart attack hoye jabe to,12/8/2024 9:00
1.94E+15,Ãpürbå Møñdãl,Bangladesh k map theke urie din,12/8/2024 14:00
4.92E+14,Imran Khan,জেগে স্বপ্ন দেখা ভালো না,12/8/2024 13:00
1.09E+15,Shyamal Bapari,Nijei cholte pare na abar kolkata dakhol korbe,12/8/2024 14:00
2.29E+15,Biswanath Roy,Kolkata dokhol korbe 😃😃😃😃😃🖕,12/8/2024 9:00
9.18E+14,Raj Kumar Raj Kumar,এতো হাসি খবর কখনো শুনিনি,12/8/2024 13:00
1.08E+15,Shankar Sheet,ওর একটা তারকাটা আছে,12/8/2024 13:00
5.91E+14,Unuch Ali,এখন কি এরা রাস্তায় হেঁটে হেঁটেও স্বপ্ন দেখে নাকি 🤣😂,12/8/2024 16:00
1.67E+15,Sampad Giri Nandan,ওকে তাড়াতাড়ি ব্রেনের ডাক্তার দেখাও,12/8/2024 16:00
5.93E+14,শেখ মোহাম্মাদ সুজন,কলকাতা দখল হয়ে যাবে,12/8/2024 9:00
1.34E+15,Pradip Barman,Tor after dwom,12/8/2024 19:00
1.10E+15,Suvankar Bera,Joy joy sree ram ♈,12/8/2024 21:00
2.08E+15,Dentists Dentists,"লম্বাই জমবে কুত্তার নাম বাঘা
সৌজন্যে কুত্তা মুহাম্মদ ইউনুস",12/8/2024 10:00
1.62E+15,Sushanta Bhunia,Toder Ke Amader West Bangol Police Pathiye Dile Ses Hoye Jabe ? Jawan Vai To Ache Unader Lagbe Na Ami Mone Kori Joy Hindi? Joy Bangla,12/8/2024 13:00
6.17E+14,Subrata Naskar,"মানুষিক ভারসাম্যহীন
হিসু করে দিলে সব মাছের পেটে
চলে যাবে 😄😁",12/8/2024 9:00
4.05E+15,Kartick Bhattacharjee,কেন প্রত্যেক পাগলের কথায় মাথা গামাচ্ছেন যেটা করলে সমাধান হবে সেটাই করুন।।। দরকার হলে উচিত শিক্ষা দিন যেন মুখ তুলে কথা বলতে না পারে,12/8/2024 12:00
1.09E+15,Mithun Acharya,"Baraha Nandan.
Kolkata Paa dile Puro Tai Kete Bad Diye Debo",12/8/2024 10:00
1.11E+15,Sanjay Mitra,"Firhad o homayun k dekhe sikchehe.vharat
er dudel ra j kotha bole eber bujun kader jonno hindhuder ekjot hote hobe.sala eto for for koro na hard bloked hole India te uste hobe tokhon ki hobe seta to aser pore bujbe.",12/8/2024 9:00
1.23E+15,Bishnu Kumar Roy,Oto ktha bltei hatu kape,12/8/2024 10:00
3.76E+15,Niladri Nag,O bal chirbe.,12/8/2024 9:00
1.32E+15,Kamal Khan,তোদের চ্যানেলের নাম হওয়া দরকার রিপাবলিক টয়লেট বাংলাদেশের সবাই হাগু করতে পারে যেমন,12/8/2024 9:00
2.63E+15,Mûkãddèß Sk,বাংলাদেশের লোকরা সব ক্ষ্যাপা হয়ে গেছে নাকি ইন্ডিয়া কত বড় জানেনা ছাড়া একবার,12/8/2024 12:00
4.72E+14,Ashish Vishwash,তোদের ধোনের চামরা আগে দখল করে দেখা,12/8/2024 17:00
1.10E+15,Palash Bagdi,বাল ছেরার খমতা নেই আবার হোল ধরে টানাটানি করে,12/8/2024 13:00
1.53E+15,Bilash Mondal,ওরা বাল ছিরবে,12/8/2024 22:00
6.33E+14,Salauddin Goldar,Morko bongla das,12/8/2024 16:00
8.59E+15,Chakma Upam,ঐ তা একটা রামপাদা,12/8/2024 22:00
1.31E+15,Kamal Khan,সকালে ঘুম ভাঙছে একটু আর বাংলা টয়লেটে হাগু করতে চাই,12/8/2024 9:00
2.26E+15,Sanot Biswas,😮‍💨Tar kata Bangladesh 😆😂,12/8/2024 9:00
1.03E+15,Mûkãddèß Sk,আরে ওরা ক্ষ্যাপা হয়ে গেছে কানের নিচে দু বাড়ি করে পল্লী ওরা ঠিক হয়ে যাবে,12/8/2024 12:00
2.30E+15,Mohammad Shohag,সিরিয়ার অবস্থা দেখছোনি বাবুরা তোমাদেরও এরকম অবস্থা হবে ইনশাআল্লাহ,12/8/2024 9:00
1.85E+15,Deep Pandit,Amra daria mute dile vese jabe 😂😂,12/8/2024 9:00
4.98E+14,Akter Hossain,Lagokh,12/8/2024 9:00
1.11E+15,Astik Das,এক পা কবরে এক পা বাইরে মুখ দিয়ে ঠিকঠাক কথা বেরোয় না সে নাকি কলকাতা দখল করবে,12/8/2024 11:00
4.51E+14,Shikha Saha,"পাগলে কি না বলে,, ছাগলে কি না খাই",12/8/2024 15:00
3.87E+15,Kanchan Mohonto,dadur natni mne hoy paliye gece tai vul boktece,12/8/2024 9:00
3.12E+15,Prabir Kumar,Jal kha kanladesh,12/8/2024 13:00
1.10E+15,Tapas Mandal,Bal chire nibe,12/8/2024 20:00
1.57E+15,Amit Ray,Madar chud ganme padeka vhul jayga kolkata,12/8/2024 20:00
1.29E+15,Joyanta Sarkar,Joyseram,12/8/2024 10:00
1.23E+15,Sãd Îñdrã,Sopno dekha valo kintu seta puron asomvob,12/8/2024 13:00
5.68E+14,Prasenjit Roy,মাল টা মনে হয় গাঁজা খায়,12/8/2024 21:00
1.75E+15,Sanjib Sarkar,"O .....binashkale
biporit buddhe....",12/8/2024 14:00
1.31E+15,Nipa Dey,জয় শ্রীরাম 🚩🚩🚩,12/8/2024 10:00
1.03E+15,Pabitra Barman,এভাবেই এরা ভারত বিরোধী হয়ে ভারতকে সব সময় ঝামেলায় ফেলার চেষ্টা করবে।❤️ এই ধর্মটাই এইরকম।।,12/8/2024 9:00
6.24E+14,Mafikul Islam,বাংলাদেশর বাবার কোলকাতা যে দকল করবে।,12/8/2024 9:00
1.26E+15,Norottom Das,কলকাতা যে ভাবে মুসলিমরা বৃদ্ধি পাচ্ছে তাতে এক সময় কলকাতা মুসলিমরা দখল করবে,12/8/2024 9:00
2.02E+15,Gour Biswas,"এমন ভাবে কথা বলছেন মনে হচ্ছে কলকাতায় ওনাদের লোকজন অনেক আগে গোপনে পৌঁছে দিয়েছে
ভারত সরকারে এখন একটা কাজ NIA দিয়ে বাংলাদেশের এক শ্রেণী মানুষ গুলো কে খুঁজে বের করতে হবে সরকারে আর হাত গুটিয়ে বসে থাকলে হবে না
রাজ্য ও কেন্দ্র যৌথভাবে প্রশাসনের কাজে লাগিয়ে দুষ্টু মানুষ গুলো গ্রেপ্তার করতে হবে",12/8/2024 10:00
6.03E+14,Sudipta Dakua,ওরা পাগল😂😂😅,12/8/2024 13:00
4.47E+14,Tipu Chaudhary Tc,"হাসিয়ে উড়িয়ে দিবেন না, এখন এই যা যা পদক্ষেপ দরকার করে নিই, না হলে পরে পস্তাতে হবে।",12/8/2024 9:00
